site,sex,Under 1,1­-4,5­-9,10-­14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85
C00          ,1,,,,,,,,2,,7,8,9,10,22,12,27,29,25,22
C00          ,2,,,,,,1,1,,1,2,3,2,6,6,9,10,14,20,17
C01          ,1,,,,,1,,,2,4,11,38,63,78,84,68,56,27,11,11
C01          ,2,,,,,,,1,,3,5,15,15,19,23,18,12,6,6,5
C02          ,1,,,,,,,5,12,20,28,78,76,108,110,53,62,39,32,27
C02          ,2,,,,,,1,4,5,10,16,24,45,44,53,71,63,44,46,37
C03          ,1,,,,,,,,1,3,3,6,15,17,28,18,17,21,14,14
C03          ,2,,1,,1,,,,,,2,3,7,6,10,17,18,29,22,29
C04          ,1,,,,,,,,1,5,6,21,27,46,64,55,30,17,3,10
C04          ,2,,,,,,,1,,,1,13,14,15,16,14,17,13,11,9
C05          ,1,,,,,1,2,1,2,4,5,14,28,29,35,29,21,18,13,6
C05          ,2,,,,1,1,1,1,6,4,3,3,20,15,26,20,15,18,15,11
C06          ,1,,,,,,,1,3,5,8,12,28,38,46,36,35,27,23,22
C06          ,2,,,,,1,,,1,,2,10,15,27,32,25,28,24,24,40
C07          ,1,,,,,1,3,5,2,5,12,14,10,21,28,32,25,31,31,43
C07          ,2,,1,1,3,5,5,4,9,12,13,10,11,17,11,14,19,14,14,25
C08          ,1,,,,1,,,1,2,1,2,8,5,5,6,7,6,8,8,6
C08          ,2,,,,,,1,,3,1,,5,5,11,6,9,9,7,6,9
C09          ,1,,,,,,,,3,7,38,91,123,156,133,74,47,23,8,3
C09          ,2,,,,,,1,4,1,5,11,22,39,50,43,25,21,13,8,4
C10          ,1,,,,,,,,,1,5,12,27,27,35,27,17,10,12,5
C10          ,2,,,,,,,,,,2,2,7,10,12,8,4,5,3,6
C11          ,1,,,1,1,2,4,4,6,7,11,12,14,23,13,9,12,6,5,3
C11          ,2,,1,,2,1,1,,5,1,2,6,5,7,5,9,9,4,2,7
C12          ,1,,,,,,,1,,2,1,11,17,35,51,46,30,14,11,7
C12          ,2,,,,,,,,,,,2,11,9,8,7,9,1,6,1
C13          ,1,,,,,,,,,,5,3,13,23,26,28,17,8,7,7
C13          ,2,,,,,,,1,,,1,2,6,9,7,8,9,8,8,11
C14          ,1,,,1,,,,2,1,1,3,11,10,25,30,21,20,15,7,4
C14          ,2,,,,,,,,,,,1,3,3,7,8,1,6,3,7
C15          ,1,,,,,,1,2,6,13,50,110,273,389,694,727,732,674,557,427
C15          ,2,,,,,,1,1,2,7,17,29,80,148,225,221,289,344,362,498
C16          ,1,,,,,3,2,7,13,19,50,85,131,216,359,470,603,680,591,500
C16          ,2,,,,2,,3,6,10,10,25,62,71,75,121,171,264,331,356,445
C17          ,1,,,,,1,1,3,2,5,12,36,36,46,81,82,85,77,64,41
C17          ,2,,,,1,,2,2,3,2,16,22,29,34,65,68,60,64,55,57
C18          ,1,,,1,8,10,24,37,61,72,132,232,392,631,1423,1703,1922,1985,1649,1337
C18          ,2,,,3,15,22,22,38,54,64,147,231,377,571,1061,1252,1469,1660,1773,1973
C19          ,1,,,,,1,1,1,10,4,19,28,62,105,190,224,233,187,172,123
C19          ,2,,,,,,,2,3,6,10,33,46,54,109,118,106,145,118,138
C20          ,1,,,,,4,3,14,18,38,76,158,325,514,883,999,956,880,645,479
C20          ,2,,,,,,1,13,15,22,68,110,189,273,405,421,491,473,457,515
C21          ,1,1,,,,,,1,2,8,18,26,28,37,48,51,52,32,29,19
C21          ,2,,,,,,,1,5,15,35,41,75,70,73,78,76,64,50,59
C22          ,1,2,9,1,2,,1,1,8,8,18,61,117,204,254,348,337,358,292,208
C22          ,2,4,4,2,1,1,1,4,9,12,10,23,48,75,128,132,191,196,198,261
C23          ,1,,,,,,1,,,1,5,2,10,9,21,24,33,35,19,29
C23          ,2,,,,,,,,,,9,13,10,23,49,62,70,71,67,79
C24          ,1,,,1,,,,,1,2,6,11,20,39,54,64,69,75,58,51
C24          ,2,,,,,,,,2,3,3,8,15,11,42,46,59,66,58,90
C25          ,1,,,,,3,,1,6,14,44,93,141,277,434,499,583,567,505,431
C25          ,2,,1,1,,1,2,4,7,12,43,56,133,199,357,433,527,574,614,714
C26          ,1,,,,,,,,1,2,1,5,7,13,14,32,29,33,42,52
C26          ,2,,,,,,,,,1,3,5,9,6,10,21,23,38,69,126
C30          ,1,,,,1,,1,1,3,4,2,6,9,10,13,14,20,18,10,15
C30          ,2,,,,,,1,1,,3,5,5,8,9,11,13,15,9,12,17
C31          ,1,,,,,,,2,,2,1,2,6,13,13,15,7,8,8,7
C31          ,2,,,,,,,,1,3,,1,4,5,4,6,4,9,6,5
C32          ,1,,,,,,1,1,,7,19,64,88,187,242,260,219,188,126,104
C32          ,2,,,,,1,,2,1,2,4,16,29,28,52,54,49,42,35,27
C33          ,1,,,,,,,,,1,1,,3,1,4,1,1,2,2,1
C33          ,2,,,,,,,,1,,1,1,2,5,4,2,1,3,2,2
C34          ,1,,,,,3,5,12,21,46,117,276,607,1249,2211,2817,3490,3315,2790,2214
C34          ,2,,3,,,3,6,12,14,31,92,269,568,1013,1834,2392,2470,2408,2341,2219
C37          ,1,,,,,,1,2,1,4,6,7,6,8,8,6,11,6,2,2
C37          ,2,,,,,,1,1,1,3,4,5,3,2,8,8,7,4,4,2
C38          ,1,,,1,1,2,3,5,3,2,4,6,4,2,11,11,3,8,12,17
C38          ,2,2,1,1,,2,,1,,1,2,2,4,3,12,3,4,8,10,4
C39          ,1,,,,,,,,,,,1,,2,,1,,4,,2
C39          ,2,,,,,,,,1,,,,,1,1,,,,,2
C40          ,1,,1,4,12,20,10,6,5,6,4,4,6,6,8,13,8,8,2,3
C40          ,2,,,6,13,8,4,5,3,4,3,9,6,8,1,3,7,3,4,3
C41          ,1,2,7,3,5,12,4,5,5,6,4,10,10,10,15,14,10,8,8,5
C41          ,2,,,,9,5,4,9,4,8,6,4,9,7,11,6,4,6,7,7
C43          ,1,,1,1,2,20,40,103,121,157,285,361,422,443,688,634,675,614,475,398
C43          ,2,,,1,1,25,86,174,245,287,427,488,504,480,602,562,493,448,422,436
C44          ,1,,,4,1,13,33,108,175,401,785,1353,1845,2594,4704,6085,7216,8171,7199,7003
C44          ,2,,1,7,7,17,46,120,229,492,930,1440,1791,2131,3373,4092,4714,5257,5188,7262
C45          ,1,,,,,,,,1,1,4,11,23,80,178,316,379,387,303,205
C45          ,2,,,,,,,2,1,1,2,3,13,22,35,53,64,64,33,57
C46          ,1,,,,,,2,5,15,15,21,14,9,8,4,3,4,3,1,1
C46          ,2,,,,,,3,2,3,5,2,1,1,1,,,,1,1,2
C47          ,1,,1,2,2,,3,4,2,2,2,1,2,1,2,1,3,2,1,1
C47          ,2,,6,1,4,3,3,3,3,3,2,,1,4,1,1,2,2,2,1
C48          ,1,3,1,,,1,,1,2,3,3,6,14,10,11,13,16,16,12,11
C48          ,2,1,2,,,,,1,2,3,3,25,32,46,62,63,69,52,51,27
C49          ,1,5,9,10,7,17,18,17,26,26,40,42,53,61,61,89,74,76,95,67
C49          ,2,1,11,4,10,10,20,18,14,17,29,29,42,46,55,70,64,58,52,68
C50          ,1,,,,,,,,2,3,5,11,16,21,54,38,42,45,32,34
C50          ,2,,,1,1,6,31,148,454,1110,2340,4217,4716,4101,5537,5259,3535,3482,3038,3547
C51          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C51          ,2,1,,,,,3,4,7,19,35,62,61,60,94,71,100,135,157,187
C52          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C52          ,2,,,,,,,2,2,12,6,8,20,29,19,21,23,21,17,35
C53          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C53          ,2,,,,,4,43,353,298,309,322,228,182,141,143,112,87,113,83,93
C54          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C54          ,2,,,,,1,2,4,24,48,112,242,524,785,1176,1128,1049,761,531,429
C55          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C55          ,2,,,,,,,,1,8,8,18,21,14,26,32,37,22,25,38
C56          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C56          ,2,,,2,5,22,40,91,92,128,236,356,451,474,727,675,695,605,497,497
C57          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C57          ,2,,,,,,,,1,6,9,15,19,37,43,53,42,43,27,29
C58          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C58          ,2,,,,,,,2,1,4,1,1,,,,,,,,
C60          ,1,,,,,,1,2,3,5,15,28,27,38,59,68,63,46,45,39
C60          ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C61          ,1,1,,,,,,1,,7,57,340,1060,2535,5213,6941,6828,6053,3711,2820
C61          ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C62          ,1,2,3,,2,64,179,279,317,262,233,195,103,56,52,24,21,13,9,5
C62          ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C63          ,1,,,1,,1,,,,1,2,4,6,4,11,9,6,11,7,7
C63          ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C64          ,1,9,30,4,1,4,6,9,27,52,135,217,331,410,664,600,611,571,413,311
C64          ,2,9,25,5,2,4,5,9,18,29,76,113,174,244,326,330,385,392,268,322
C65          ,1,,,,,,,,,2,2,6,17,18,42,49,68,61,54,25
C65          ,2,,,,,,,,,2,1,1,6,13,16,24,37,47,33,34
C66          ,1,,,,,,,,,,1,4,9,13,18,50,58,70,59,28
C66          ,2,,,,,,,,,,3,1,2,4,8,28,35,45,36,35
C67          ,1,1,3,,,,3,2,5,13,36,81,167,286,588,881,1062,1149,1064,1031
C67          ,2,,1,,,,,5,2,8,17,37,64,96,171,232,341,425,435,652
C68          ,1,,,,,,,,,,1,4,3,5,13,19,21,15,22,18
C68          ,2,,,,,,,,,2,,1,1,4,7,4,3,3,8,9
C69          ,1,7,6,1,1,1,1,1,4,4,4,12,22,16,15,7,27,17,14,9
C69          ,2,4,10,,1,,2,3,4,5,10,5,15,21,29,18,21,17,14,16
C70          ,1,,,,,,1,1,1,4,3,2,1,,8,4,1,2,2,2
C70          ,2,,1,,,1,2,1,,,4,2,2,7,4,10,5,4,6,12
C71          ,1,3,33,43,32,32,51,57,72,76,99,127,172,215,278,296,225,198,155,101
C71          ,2,5,41,34,23,16,22,36,46,45,76,96,128,139,201,180,183,209,147,122
C72          ,1,2,8,2,,4,2,3,7,7,6,5,7,7,6,3,,5,3,1
C72          ,2,2,6,2,1,3,,,,1,3,3,5,2,5,2,3,2,1,1
C73          ,1,,,,3,12,11,33,43,48,55,64,51,52,66,55,66,44,27,25
C73          ,2,,,,6,24,50,124,122,171,197,177,133,113,131,115,108,79,54,56
C74          ,1,12,11,2,1,2,1,1,1,,4,2,5,6,11,3,5,7,3,1
C74          ,2,3,6,,,1,,4,3,6,1,5,5,4,8,3,6,8,4,9
C75          ,1,,,3,4,6,2,2,1,2,3,4,4,9,4,11,7,10,4,5
C75          ,2,,1,2,3,2,1,1,,3,4,2,3,9,6,1,7,4,4,2
C76          ,1,4,8,1,1,1,,,4,1,7,3,5,6,10,19,17,20,18,27
C76          ,2,6,6,1,,1,1,1,,3,,8,5,9,8,11,14,21,42,72
C77          ,1,,,,,1,1,1,4,5,20,32,48,54,71,56,53,59,28,25
C77          ,2,,,,,1,1,,5,4,17,22,32,26,37,27,40,42,31,29
C78          ,1,,,,,,,2,4,6,14,26,34,78,100,126,164,174,191,184
C78          ,2,,,,,,,1,1,11,14,35,40,84,124,145,209,248,267,360
C79          ,1,,,,,,,2,2,6,6,11,27,25,41,60,60,82,61,65
C79          ,2,,,,,,,2,4,6,6,8,16,26,41,42,68,66,79,106
C80          ,1,,,1,2,,2,7,3,10,19,39,51,85,153,172,203,258,324,380
C80          ,2,,,1,,1,1,6,6,9,19,39,44,65,132,136,203,323,397,661
C81          ,1,,4,17,21,55,91,87,60,54,69,74,53,58,48,54,43,43,16,14
C81          ,2,,,7,13,44,74,75,57,40,39,43,20,42,43,40,37,30,31,21
C82          ,1,,,,,1,4,9,13,24,42,78,72,101,141,143,112,99,68,41
C82          ,2,,,1,,3,2,5,13,25,43,63,97,89,140,164,151,105,63,51
C83          ,1,,10,13,14,17,23,29,43,63,87,138,183,223,378,438,454,409,379,242
C83          ,2,1,3,2,1,9,14,22,23,45,66,84,100,167,285,310,363,330,318,317
C84          ,1,,4,6,1,1,1,7,15,13,12,16,33,40,43,63,64,42,40,25
C84          ,2,,1,1,6,3,1,6,4,9,7,18,15,26,21,35,28,28,25,20
C85          ,1,1,2,,5,6,13,10,19,25,38,45,73,92,151,183,181,199,168,144
C85          ,2,,,1,1,6,7,14,11,13,25,42,52,103,119,145,138,175,175,161
C88          ,1,,,,,,,,,,1,,3,4,15,13,19,19,14,23
C88          ,2,,,,,,,,,,,2,,2,4,4,5,5,14,16
C90          ,1,,,,,,,5,6,13,27,78,101,154,257,328,361,367,317,240
C90          ,2,,,,,,1,1,5,11,21,49,93,100,220,227,248,269,265,275
C91          ,1,6,83,28,26,28,23,14,11,23,39,70,91,151,280,291,274,306,225,188
C91          ,2,6,57,29,19,10,18,6,8,10,20,31,59,79,171,170,179,185,149,218
C92          ,1,4,17,8,10,11,22,21,36,34,48,85,109,102,161,229,251,256,257,228
C92          ,2,3,14,4,11,13,21,23,20,27,48,51,66,99,126,130,158,194,209,262
C93          ,1,,,,,,2,1,,,1,2,3,1,4,3,5,6,6,2
C93          ,2,,1,,,,,,1,1,2,1,1,1,1,2,3,1,2,2
C94          ,1,1,,,,,1,,,,,,2,3,9,4,7,6,7,2
C94          ,2,,1,,,,,,1,,,1,2,1,3,1,8,5,1,2
C95          ,1,,2,,1,5,1,2,1,1,2,1,4,3,6,6,10,12,15,18
C95          ,2,,1,2,2,1,1,2,,,3,4,1,2,8,4,5,8,13,27
C96          ,1,,1,2,,,1,,,2,1,3,4,3,5,5,4,5,10,2
C96          ,2,,,,1,,1,2,,1,4,2,1,2,5,3,,4,2,1
C97          ,1,,,,,,,,,,,,,,,,,1,,1
C97          ,2,,,,,,,,,,,,,,,,,,,
D00          ,1,,,,,,,,1,3,6,14,31,38,58,61,62,46,44,32
D00          ,2,,,,,,,,1,2,1,8,4,16,21,25,25,33,21,29
D01          ,1,,,,,1,,6,8,10,14,48,49,93,254,296,236,193,158,113
D01,2,,,,,,6,8,10,15,24,42,57,82,148,146,145,137,133,89
D02          ,1,,,,,,,,1,3,3,11,17,22,34,46,51,43,27,16
D02          ,2,,,,,,,,1,3,2,5,6,11,10,11,9,11,8,7
D03          ,1,,,,1,4,8,26,25,38,76,91,118,180,243,270,292,311,220,155
D03          ,2,,,,1,6,31,39,71,84,151,156,153,182,222,251,251,230,176,167
D04          ,1,,1,,,1,,3,5,21,29,54,84,132,302,389,529,625,554,604
D04          ,2,,1,,,,3,3,5,12,43,82,88,126,302,462,654,871,936,1189
D05          ,1,,,,,,,,,,3,1,2,2,4,2,2,2,2,
D05          ,2,,,,,,2,10,30,89,220,525,1020,649,839,751,358,210,107,107
D06          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D06          ,2,,,,,19,976,11031,4665,2816,1891,1109,397,316,222,46,19,15,10,7
D07          ,1,,,,,3,7,9,7,10,18,35,79,134,241,292,218,146,43,17
D07          ,2,,,,,2,15,43,41,84,100,134,89,84,97,58,45,27,21,17
D09          ,1,,,,,1,1,5,10,15,22,47,93,114,275,390,440,473,403,271
D09          ,2,,,,,,1,3,1,1,13,16,23,38,75,80,105,117,119,92
D32          ,1,,,,,4,3,7,3,9,16,22,26,37,28,41,46,35,50,43
D32          ,2,,,,1,,5,8,15,42,61,81,91,82,108,109,87,82,82,117
D33          ,1,1,2,2,5,1,7,6,17,19,20,26,26,23,29,20,16,10,2,7
D33          ,2,1,1,3,2,7,9,15,12,24,18,23,21,17,32,21,23,10,5,6
D35.2        ,1,,,,,3,6,4,13,14,24,33,27,50,40,28,41,23,16,16
D35.2        ,2,,,,,6,11,9,17,22,24,31,20,16,30,21,18,14,8,10
D35.3        ,1,,,,,,,,,,,,,,,,,,,
D35.3        ,2,,,,,,,,,,,,,,,,,,,
D35.4        ,1,,,,1,,,,,,,,,,,,,,,
D35.4        ,2,,,,,,,,,,,,,,,,,,,
D37          ,1,,1,1,7,4,7,13,14,9,19,22,52,40,82,105,112,83,74,48
D37          ,2,,,,3,16,15,16,18,24,25,37,39,57,78,90,84,79,75,92
D38          ,1,,1,1,,,2,1,1,1,2,3,5,5,6,6,12,10,11,13
D38          ,2,,,,,,2,2,,,3,3,2,6,9,7,9,8,8,14
D39          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D39          ,2,1,1,1,2,4,14,20,26,22,55,42,36,38,29,30,30,24,24,28
D40          ,1,2,,1,1,2,4,6,6,8,2,7,2,6,8,5,4,5,1,2
D40          ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D41          ,1,,,,1,3,6,9,14,36,56,103,179,269,500,671,737,766,581,376
D41          ,2,,,,,2,,6,10,6,19,38,60,90,195,202,248,214,215,183
D42          ,1,,,,,,1,,,1,2,2,10,9,13,11,7,3,7,3
D42          ,2,,,,,,,6,2,4,14,4,7,10,16,8,6,10,3,4
D43          ,1,1,4,13,5,6,7,8,13,8,13,19,8,16,6,16,37,31,31,35
D43          ,2,3,6,6,7,8,5,4,6,5,12,14,11,8,11,14,21,27,42,47
D44          ,1,,1,4,1,5,3,4,3,4,11,6,5,7,11,8,15,5,7,6
D44          ,2,,2,1,1,3,3,7,2,5,6,11,17,7,12,9,12,9,11,13
D45          ,1,,1,,1,1,2,6,13,10,26,37,42,42,54,60,43,52,25,29
D45          ,2,2,1,,,,1,3,,1,12,11,14,18,34,34,40,28,44,44
D46          ,1,,1,1,1,1,4,2,4,1,9,21,21,33,69,126,193,228,254,370
D46          ,2,,1,,,2,1,2,2,6,6,9,17,26,41,55,102,137,182,349
D47          ,1,2,1,,4,3,,6,17,24,26,35,47,80,124,158,167,177,164,153
D47          ,2,2,1,,1,3,3,9,11,15,33,40,41,61,114,124,149,166,170,223
D48          ,1,1,6,6,5,6,14,18,17,19,32,28,37,29,45,64,77,93,88,76
D48          ,2,2,4,2,6,9,23,29,34,47,54,70,49,48,42,34,35,26,38,39
