"year","site","agegroup","sex","cases"
2006,"C16","<1   ","Men",0
2006,"C16","01-04","Men",0
2006,"C16","05-09","Men",0
2006,"C16","10-14","Men",0
2006,"C16","15-19","Men",1
2006,"C16","20-24","Men",0
2006,"C16","25-29","Men",6
2006,"C16","30-34","Men",12
2006,"C16","35-39","Men",24
2006,"C16","40-44","Men",58
2006,"C16","45-49","Men",88
2006,"C16","50-54","Men",134
2006,"C16","55-59","Men",261
2006,"C16","60-64","Men",351
2006,"C16","65-69","Men",512
2006,"C16","70-74","Men",693
2006,"C16","75-79","Men",808
2006,"C16","80-84","Men",638
2006,"C16","85+","Men",449
2006,"C16","<1   ","Women",0
2006,"C16","01-04","Women",0
2006,"C16","05-09","Women",0
2006,"C16","10-14","Women",0
2006,"C16","15-19","Women",1
2006,"C16","20-24","Women",6
2006,"C16","25-29","Women",5
2006,"C16","30-34","Women",6
2006,"C16","35-39","Women",28
2006,"C16","40-44","Women",25
2006,"C16","45-49","Women",45
2006,"C16","50-54","Women",44
2006,"C16","55-59","Women",88
2006,"C16","60-64","Women",142
2006,"C16","65-69","Women",208
2006,"C16","70-74","Women",289
2006,"C16","75-79","Women",371
2006,"C16","80-84","Women",435
2006,"C16","85+","Women",488
2007,"C16","<1   ","Men",0
2007,"C16","01-04","Men",0
2007,"C16","05-09","Men",0
2007,"C16","10-14","Men",0
2007,"C16","15-19","Men",0
2007,"C16","20-24","Men",1
2007,"C16","25-29","Men",3
2007,"C16","30-34","Men",7
2007,"C16","35-39","Men",21
2007,"C16","40-44","Men",56
2007,"C16","45-49","Men",81
2007,"C16","50-54","Men",128
2007,"C16","55-59","Men",249
2007,"C16","60-64","Men",383
2007,"C16","65-69","Men",572
2007,"C16","70-74","Men",724
2007,"C16","75-79","Men",769
2007,"C16","80-84","Men",650
2007,"C16","85+","Men",462
2007,"C16","<1   ","Women",0
2007,"C16","01-04","Women",0
2007,"C16","05-09","Women",0
2007,"C16","10-14","Women",1
2007,"C16","15-19","Women",0
2007,"C16","20-24","Women",0
2007,"C16","25-29","Women",8
2007,"C16","30-34","Women",9
2007,"C16","35-39","Women",18
2007,"C16","40-44","Women",35
2007,"C16","45-49","Women",44
2007,"C16","50-54","Women",67
2007,"C16","55-59","Women",108
2007,"C16","60-64","Women",138
2007,"C16","65-69","Women",206
2007,"C16","70-74","Women",270
2007,"C16","75-79","Women",379
2007,"C16","80-84","Women",445
2007,"C16","85+","Women",496
2008,"C16","<1   ","Men",0
2008,"C16","01-04","Men",0
2008,"C16","05-09","Men",0
2008,"C16","10-14","Men",0
2008,"C16","15-19","Men",0
2008,"C16","20-24","Men",6
2008,"C16","25-29","Men",10
2008,"C16","30-34","Men",13
2008,"C16","35-39","Men",25
2008,"C16","40-44","Men",36
2008,"C16","45-49","Men",95
2008,"C16","50-54","Men",149
2008,"C16","55-59","Men",224
2008,"C16","60-64","Men",365
2008,"C16","65-69","Men",463
2008,"C16","70-74","Men",662
2008,"C16","75-79","Men",770
2008,"C16","80-84","Men",659
2008,"C16","85+","Men",474
2008,"C16","<1   ","Women",0
2008,"C16","01-04","Women",0
2008,"C16","05-09","Women",0
2008,"C16","10-14","Women",1
2008,"C16","15-19","Women",2
2008,"C16","20-24","Women",1
2008,"C16","25-29","Women",7
2008,"C16","30-34","Women",10
2008,"C16","35-39","Women",11
2008,"C16","40-44","Women",41
2008,"C16","45-49","Women",44
2008,"C16","50-54","Women",61
2008,"C16","55-59","Women",92
2008,"C16","60-64","Women",126
2008,"C16","65-69","Women",214
2008,"C16","70-74","Women",288
2008,"C16","75-79","Women",363
2008,"C16","80-84","Women",396
2008,"C16","85+","Women",477
2009,"C16","<1   ","Men",0
2009,"C16","<1   ","Women",0
2009,"C16","01-04","Men",0
2009,"C16","01-04","Women",0
2009,"C16","05-09","Men",0
2009,"C16","05-09","Women",0
2009,"C16","10-14","Men",0
2009,"C16","10-14","Women",0
2009,"C16","15-19","Men",3
2009,"C16","15-19","Women",1
2009,"C16","20-24","Men",3
2009,"C16","20-24","Women",3
2009,"C16","25-29","Men",3
2009,"C16","25-29","Women",7
2009,"C16","30-34","Men",11
2009,"C16","30-34","Women",13
2009,"C16","35-39","Men",21
2009,"C16","35-39","Women",17
2009,"C16","40-44","Men",65
2009,"C16","40-44","Women",31
2009,"C16","45-49","Men",94
2009,"C16","45-49","Women",44
2009,"C16","50-54","Men",156
2009,"C16","50-54","Women",71
2009,"C16","55-59","Men",246
2009,"C16","55-59","Women",101
2009,"C16","60-64","Men",356
2009,"C16","60-64","Women",144
2009,"C16","65-69","Men",517
2009,"C16","65-69","Women",168
2009,"C16","70-74","Men",641
2009,"C16","70-74","Women",284
2009,"C16","75-79","Men",723
2009,"C16","75-79","Women",352
2009,"C16","80-84","Men",644
2009,"C16","80-84","Women",392
2009,"C16","85+","Men",493
2009,"C16","85+","Women",491
2010,"C16","<1   ","Men",0
2010,"C16","<1   ","Women",0
2010,"C16","01-04","Men",0
2010,"C16","01-04","Women",0
2010,"C16","05-09","Men",0
2010,"C16","05-09","Women",0
2010,"C16","10-14","Men",0
2010,"C16","10-14","Women",0
2010,"C16","15-19","Men",2
2010,"C16","15-19","Women",1
2010,"C16","20-24","Men",2
2010,"C16","20-24","Women",2
2010,"C16","25-29","Men",2
2010,"C16","25-29","Women",9
2010,"C16","30-34","Men",10
2010,"C16","30-34","Women",17
2010,"C16","35-39","Men",32
2010,"C16","35-39","Women",12
2010,"C16","40-44","Men",58
2010,"C16","40-44","Women",46
2010,"C16","45-49","Men",100
2010,"C16","45-49","Women",61
2010,"C16","50-54","Men",143
2010,"C16","50-54","Women",64
2010,"C16","55-59","Men",209
2010,"C16","55-59","Women",105
2010,"C16","60-64","Men",337
2010,"C16","60-64","Women",153
2010,"C16","65-69","Men",457
2010,"C16","65-69","Women",180
2010,"C16","70-74","Men",634
2010,"C16","70-74","Women",288
2010,"C16","75-79","Men",702
2010,"C16","75-79","Women",345
2010,"C16","80-84","Men",584
2010,"C16","80-84","Women",365
2010,"C16","85+","Men",509
2010,"C16","85+","Women",489
2011,"C16","<1   ","Men",0
2011,"C16","<1   ","Women",0
2011,"C16","01-04","Men",0
2011,"C16","01-04","Women",0
2011,"C16","05-09","Men",0
2011,"C16","05-09","Women",0
2011,"C16","10-14","Men",0
2011,"C16","10-14","Women",2
2011,"C16","15-19","Men",3
2011,"C16","15-19","Women",0
2011,"C16","20-24","Men",2
2011,"C16","20-24","Women",3
2011,"C16","25-29","Men",7
2011,"C16","25-29","Women",6
2011,"C16","30-34","Men",13
2011,"C16","30-34","Women",10
2011,"C16","35-39","Men",19
2011,"C16","35-39","Women",10
2011,"C16","40-44","Men",50
2011,"C16","40-44","Women",25
2011,"C16","45-49","Men",85
2011,"C16","45-49","Women",62
2011,"C16","50-54","Men",131
2011,"C16","50-54","Women",71
2011,"C16","55-59","Men",216
2011,"C16","55-59","Women",75
2011,"C16","60-64","Men",359
2011,"C16","60-64","Women",121
2011,"C16","65-69","Men",470
2011,"C16","65-69","Women",171
2011,"C16","70-74","Men",603
2011,"C16","70-74","Women",264
2011,"C16","75-79","Men",680
2011,"C16","75-79","Women",331
2011,"C16","80-84","Men",591
2011,"C16","80-84","Women",356
2011,"C16","85+","Men",500
2011,"C16","85+","Women",445
2012,"C16","<1   ","Men",1
2012,"C16","<1   ","Women",0
2012,"C16","01-04","Men",0
2012,"C16","01-04","Women",0
2012,"C16","05-09","Men",1
2012,"C16","05-09","Women",0
2012,"C16","10-14","Men",0
2012,"C16","10-14","Women",0
2012,"C16","15-19","Men",0
2012,"C16","15-19","Women",1
2012,"C16","20-24","Men",2
2012,"C16","20-24","Women",2
2012,"C16","25-29","Men",4
2012,"C16","25-29","Women",11
2012,"C16","30-34","Men",13
2012,"C16","30-34","Women",17
2012,"C16","35-39","Men",26
2012,"C16","35-39","Women",16
2012,"C16","40-44","Men",54
2012,"C16","40-44","Women",37
2012,"C16","45-49","Men",81
2012,"C16","45-49","Women",52
2012,"C16","50-54","Men",146
2012,"C16","50-54","Women",64
2012,"C16","55-59","Men",214
2012,"C16","55-59","Women",89
2012,"C16","60-64","Men",340
2012,"C16","60-64","Women",134
2012,"C16","65-69","Men",475
2012,"C16","65-69","Women",160
2012,"C16","70-74","Men",598
2012,"C16","70-74","Women",245
2012,"C16","75-79","Men",684
2012,"C16","75-79","Women",321
2012,"C16","80-84","Men",583
2012,"C16","80-84","Women",344
2012,"C16","85+","Men",496
2012,"C16","85+","Women",426
