Age,Sex,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
30,Male,376695,366897,353423,336884,331501,325520,320975,329818,355252,369527,369450,364969,366404,365510,378025,380481,374255,388089,387977,397858,405478,393966,387922,388961,378261,380475,378015,368104,364598,354945
31,Male,374455,377103,367451,354321,339194,332912,326665,324964,333319,356341,371850,369513,366111,368257,368362,381233,381705,375369,389133,388920,398579,406115,394493,388459,389504,378814,381030,378577,368673,365170
32,Male,383636,374912,377927,368052,356659,340688,333768,330239,328554,333732,358647,371333,370117,367344,370485,370825,382253,382623,376234,389894,389482,399063,406492,394883,388857,389908,379229,381446,378999,369104
33,Male,387350,383594,374888,378466,369910,357955,341506,336863,333227,328812,335139,357675,371301,371034,368677,372147,371287,382623,382952,376491,389958,389488,398981,406408,394810,388794,389852,379182,381403,378962
34,Male,397597,387009,383513,374778,380491,371045,358765,344399,339405,333327,330196,334526,357824,372166,372334,370211,372353,371419,382718,382987,376354,389760,389217,398709,406134,394548,388544,389605,378949,381173
35,Male,396393,397843,388295,383447,377961,382195,373989,359581,344169,339819,334046,329469,334399,357950,373252,373513,370293,372364,371412,382656,382755,376087,389416,388877,398365,405790,394215,388221,389289,378646
36,Male,396873,396699,398720,387622,385994,378699,384743,374635,359399,344707,340309,333413,329234,334445,358647,374278,373375,370099,372154,371167,382244,382307,375588,388908,388374,397858,405279,393717,387734,388808
37,Male,392474,397070,397475,398022,389622,386602,380564,385738,374521,359839,345224,339748,333184,329184,335093,359594,374067,373111,369825,371847,370712,381746,381755,375047,388357,387826,397306,404723,393173,387203
38,Male,385233,392680,397852,396723,399488,389531,387903,380669,385792,374930,360518,344597,339876,333472,329906,336142,359453,373855,372885,369569,371457,370293,381265,381278,374582,387879,387352,396825,404238,392702
39,Male,374571,385959,393812,397095,397927,399138,390192,387844,379878,386317,375560,359986,344742,339722,333744,330319,335991,359224,373591,372587,369156,371012,369802,380766,380783,374099,387383,386860,396328,403736
40,Male,365504,376921,385459,391955,397950,396224,398080,389414,388421,378002,385058,374600,360126,344557,340145,334158,330016,335644,358832,373144,372031,368578,370393,369190,380144,380163,373493,386765,386246,395706
41,Male,352669,367213,376722,383683,392638,396140,395160,397003,389342,386497,376049,384103,374637,359920,344650,340206,333759,329595,335205,358325,372519,371384,367900,369718,368520,379464,379487,372829,386088,385573
42,Male,345643,354245,366963,375644,384331,391402,395102,393904,396578,387008,384557,375340,384124,374547,360403,345367,339905,333444,329269,334836,357835,371977,370806,367332,369154,367964,378896,378922,372279,385522
43,Male,341180,346943,353894,365450,376536,383185,390585,393908,393408,394150,384595,383606,375210,384124,375073,360832,345181,339707,333236,329032,334519,357449,371525,370359,366898,368723,367541,378461,378491,371864
44,Male,329966,342232,346579,352637,366007,375896,382733,389800,393361,391021,391659,383719,383495,375282,384869,375864,360691,345051,339571,333079,328809,334261,357109,371162,370002,366555,368385,367210,378118,378152
45,Male,318181,327481,341619,346402,352148,365843,373791,382005,389513,393076,389810,390867,383330,383512,375877,385225,375731,360571,344949,339453,332901,328613,334019,356829,370859,369706,366273,368108,366941,377837
46,Male,309787,315865,327002,341071,345837,352058,363583,373499,381746,389530,392097,389120,390290,383207,383834,376317,384981,375499,360357,344743,339202,332641,328334,333737,356508,370514,369371,365953,367793,366637
47,Male,311484,307121,315466,326420,340076,345608,349995,362949,373773,381859,388933,391128,388553,390157,383546,384016,376019,384664,375188,360055,344429,338885,332312,328025,333428,356160,370140,369006,365606,367451
48,Male,308347,309067,306371,315047,325486,339465,343332,349448,362747,374181,381317,388046,390375,388201,390295,383658,383594,375626,384238,374762,359626,344025,338472,331928,327663,333065,355755,369711,368587,365205
49,Male,304935,306370,308363,305421,314257,324737,337079,342653,349286,362705,373943,380237,387151,390142,388255,390608,383174,383123,375169,383740,374249,359140,343561,338038,331523,327281,332683,355331,369261,368148
50,Male,306164,303735,305541,306448,304769,313151,323567,336747,342161,348136,361409,373065,379474,386767,389939,388288,390071,382675,382617,374670,383183,373707,358622,343105,337611,331128,326911,332313,354916,368821
51,Male,314843,305069,302317,303958,305893,303222,312148,323465,335844,340787,346924,360399,372036,378799,386424,389497,387588,389393,382017,381950,373996,382484,373019,357997,342545,337085,330636,326444,331846,354404
52,Male,325911,313462,303752,300033,303545,304372,301827,312205,322556,333964,339352,345742,359373,371507,378311,386095,388620,386750,388555,381197,381107,373179,381636,372218,357263,341879,336456,330041,325877,331279
53,Male,350606,324260,311784,301728,299077,302272,303051,301483,311594,320870,332154,338329,344797,358737,370770,377733,385140,387692,385835,387634,380281,380194,372289,380742,371376,356492,341180,335795,329417,325281
54,Male,370634,348274,322401,309238,300946,297103,301194,302634,300373,310052,319149,330898,337149,344032,357934,369970,376635,384057,386606,384758,386537,379216,379131,371279,379726,370416,355607,340371,335027,328688
55,Male,301249,368921,344951,320047,307717,299192,294749,299318,301262,298912,308806,318027,329639,336043,343036,357020,368671,375357,382759,385301,383456,385239,377949,377894,370096,378539,369285,354557,339402,334098
56,Male,294418,298386,366622,341898,318071,305391,296767,292206,297971,299576,297135,307435,316644,328446,334749,341689,355556,367208,373875,381250,383780,381959,383743,376513,376487,368751,377187,367993,353350,338282
57,Male,287562,291478,295088,364715,339203,315704,302879,294401,290345,296601,297836,295702,305923,315355,327286,333446,340132,353988,365589,372230,379571,382105,380302,382111,374945,374950,367280,375706,366578,352028
58,Male,274268,285281,288295,292235,363244,336263,312834,300281,292627,288248,295033,295775,293723,304272,313956,325748,331666,338385,352179,363723,370335,377655,380187,378430,380263,373166,373203,365602,374018,364960
59,Male,245807,271444,282876,285308,289701,361389,332685,309909,298088,290692,285974,292916,293654,292029,302634,312516,323725,329686,336385,350109,361594,368191,375485,378039,376330,378188,371163,371234,363706,372110
60,Male,229929,243234,268474,280249,281946,286086,357094,329582,307498,296159,288397,283724,290613,291647,290440,301105,310423,321638,327582,334255,347898,359332,365908,373195,375771,374113,375997,369049,369154,361704
61,Male,239295,226952,240396,265250,277581,278277,281085,355055,326472,305183,293435,285879,281381,288624,289865,288621,298903,308235,319389,325310,331952,345524,356897,363468,370747,373345,371740,373651,366785,366927
62,Male,239499,236188,223570,237223,262037,274706,273488,277888,352980,323356,302337,290774,283213,279117,286686,287859,286303,296591,305868,316953,322847,329467,342958,354286,360851,368119,370740,369191,371130,364351
63,Male,237184,236205,232657,219891,234045,258442,270581,270322,274907,350973,319545,299566,288198,281118,277065,284493,285471,284025,294244,303456,314464,320337,326927,340352,351632,358189,365444,368090,366599,368566
64,Male,230402,233671,232514,228813,216133,230594,253817,267984,266942,271922,348284,316237,296599,285582,278626,274527,281955,283023,281614,291755,300900,311836,317681,324261,337616,348843,355390,362632,365301,363869
65,Male,222049,226125,229079,227871,224824,211600,226897,250781,265339,264112,268158,344370,312711,293538,282597,275569,271698,279158,280240,278867,288929,298016,308871,314710,321278,334556,345725,352259,359485,362178
66,Male,214243,217647,221276,224452,223765,220453,207576,223944,247456,262959,260309,264934,340423,309438,290291,279440,272476,268778,276183,277275,275947,285932,294951,305741,311571,318124,331319,342425,348946,356154
67,Male,203552,209773,212915,216479,220215,219338,216402,203960,220658,244286,259773,256853,261631,336442,305592,286799,276085,269357,265743,273087,274194,272917,282816,291782,302503,308324,314858,327964,339004,345510
68,Male,199932,198855,205009,207978,211848,215648,215074,212655,200037,217563,240572,255971,253097,258038,332029,301583,282942,272553,265967,262441,269721,270851,269627,279455,288362,298993,304786,311301,324309,335276
69,Male,198584,194842,193606,199743,203189,206859,210986,211067,208612,196266,213801,236480,251818,249134,254275,327187,297004,278862,268694,262258,258829,266047,267202,266049,275798,284614,295131,300910,307403,320304
70,Male,194958,193179,189362,188389,194876,198278,202198,206615,206725,204610,191917,209834,232220,247463,244996,250100,321611,292197,274444,264511,258234,254912,262065,263259,262180,271814,280531,290959,296721,303185
71,Male,186621,188833,187386,183669,183129,189754,193355,197537,202034,202420,199921,187689,205606,227696,242854,240476,245368,315779,287015,269671,259986,253885,250676,257769,259004,257988,267512,276156,286487,292228
72,Male,177200,180295,182296,181279,178056,177583,184669,188410,192460,197390,197591,195186,183308,200983,222830,237955,235385,240422,309518,281439,264528,255113,249197,246116,253144,254420,253484,262909,271470,281697
73,Male,167934,170460,173494,175707,175232,172139,172336,179546,183094,187365,192255,192681,190224,178977,196336,217612,232396,230152,235186,302875,275526,259075,249942,244228,241282,248237,249556,248706,258020,266492
74,Male,162805,160873,163385,166591,169278,168944,166327,166958,174089,177620,181894,187160,187565,185462,174222,191302,212071,226747,224674,229696,295886,269308,253341,244512,239010,236203,243081,244443,243682,252875
75,Male,155105,155205,153582,156256,160031,162578,162815,160330,161349,168613,171911,176513,181643,182353,180036,169257,185955,206394,220778,218879,223883,288474,262710,247262,238753,233473,230813,237604,239012,238342
76,Male,145175,147096,147338,146164,149004,153056,155884,156386,154034,155507,162735,166147,170499,176060,176472,174355,164000,180420,200339,214408,212689,217670,280554,255657,240756,232583,227536,225030,231727,233178
77,Male,136227,136824,138887,139375,138752,141895,146015,148994,149667,147593,149477,156599,159994,164604,169654,170217,168245,158531,174494,193857,207585,206054,211002,272075,248090,233766,225944,221143,218798,225389
78,Male,127757,127754,128429,130683,131382,131213,134555,138858,141964,143097,140940,143245,150158,153716,157998,162823,163522,161934,152703,168177,186948,200313,198971,203887,263029,240006,226286,218833,214288,212108
79,Male,123877,119101,119122,120086,122315,123626,123770,127148,131385,134743,136064,134522,136635,143630,146730,151180,155681,156680,155283,146552,161504,179647,192619,191476,196348,253437,231424,218336,211267,206988
80,Male,119309,114347,110295,110419,111833,114257,115676,116061,119528,124054,127395,128944,127442,129885,136199,139523,143750,148379,149464,148261,140049,154448,171920,184475,183531,188345,243252,222297,209871,203203
81,Male,109314,109168,104995,101391,101933,103584,106199,107716,108085,111833,116429,119868,121454,120382,122390,128606,131804,136162,140688,141854,140843,133171,146980,163740,175845,175099,179841,232425,212578,200843
82,Male,73607,98820,99063,95743,92885,93583,95382,97959,99490,100321,104119,108657,111723,113848,112482,114734,120587,123967,128214,132619,133859,133042,125925,139108,155108,166727,166177,170831,220943,202255
83,Male,56700,66791,88554,89142,86752,84452,85365,87254,89972,91606,92560,96281,100503,103881,105267,104443,106648,112482,115791,119909,124177,125483,124857,118314,130830,146022,157116,156759,161306,208795
84,Male,55686,50549,60170,78418,79522,78225,76362,77391,78992,82072,83689,84509,88011,92584,95243,96913,96105,98531,104078,107300,111273,115385,116748,116309,110351,122160,136495,147026,146855,151276
30,Female,379530,370491,352285,334879,331999,326949,319309,328302,351269,370286,372454,370664,370842,367575,376358,377153,379054,386216,380841,381758,388937,384558,371807,369205,358199,357853,359484,350065,345846,336551
31,Female,375813,381444,371952,353338,339369,336050,328051,322944,329365,354553,373219,373407,371696,371867,369406,377388,378211,380018,387118,381655,382399,389506,385033,372289,369691,358691,358349,359981,350567,346354
32,Female,386764,377283,383497,372145,357224,342946,336998,331645,324125,331448,357375,374093,374412,372644,373691,370708,378175,378913,380671,387691,382065,382748,389769,385298,372561,369970,358977,358640,360272,350865
33,Female,390113,388094,378590,383967,374897,359854,343411,339864,332797,326095,332978,357857,374859,375263,374267,374621,371412,378802,379495,381186,388054,382375,382986,390005,385533,372807,370220,359236,358903,360535
34,Female,398609,391246,389125,378789,386975,376952,360173,345867,340859,334952,327842,333180,358459,375549,376423,374856,375067,371796,379150,379786,381345,388163,382422,383034,390050,385580,372863,370283,359307,358979
35,Female,400538,399307,390749,390227,379902,388495,377785,361547,347934,341776,334931,327799,333572,359272,376740,376910,375150,375304,372011,379313,379822,381338,388096,382357,382969,389983,385516,372808,370235,359270
36,Female,401910,401344,398422,391700,391093,380675,389750,378499,363234,348523,341747,335006,328272,334422,360640,377659,377292,375478,375609,372277,379444,379912,381374,388128,382393,383006,390016,385549,372854,370288
37,Female,398096,402816,400833,398909,392396,391725,381444,390977,379631,363622,348338,341583,335228,329073,335705,361577,378085,377664,375824,375913,372470,379594,380010,381472,388223,382492,383105,390112,385647,372963
38,Female,391312,399027,402485,401380,399068,393096,392365,382203,392587,379374,363211,348529,341993,335935,330155,336222,361933,378379,377931,376050,376046,372573,379645,380061,381524,388272,382545,383159,390164,385702
39,Female,381572,391921,398708,403183,401545,399229,393556,392839,383121,392961,378488,363223,348674,342529,337036,330797,336564,362210,378615,378125,376154,376120,372604,379674,380090,381554,388299,382576,383194,390194
40,Female,370822,382132,391787,398963,403421,401007,399962,392144,393425,383579,393469,378637,363431,349278,343758,338099,331199,336923,362516,378861,378285,376283,376204,372695,379762,380179,381643,388384,382669,383287
41,Female,356161,370966,382007,391730,399235,402811,401865,398173,392582,393610,383443,393384,378691,363609,349909,344442,338412,331487,337180,362709,378962,378354,376314,376239,372735,379799,380218,381682,388420,382712
42,Female,348957,356365,370624,382033,391663,398770,403728,400321,398063,392763,393354,383660,393523,379033,364274,351126,344696,338642,331705,337358,362791,378998,378352,376317,376247,372751,379810,380231,381698,388431
43,Female,343894,349210,356147,370255,382125,390881,399562,402409,400332,397691,392455,393205,383541,393520,379488,365008,351352,344905,338839,331879,337464,362842,378994,378351,376321,376255,372768,379825,380246,381716
44,Female,333117,343902,349037,355834,369931,381513,391248,398396,402504,400118,396844,392462,393115,383534,393885,380164,365091,351433,344980,338898,331889,337447,362766,378902,378259,376236,376176,372698,379751,380176
45,Female,322099,331994,343294,348042,355346,369123,381327,390990,398107,401813,399415,396840,392524,393188,383909,394462,380267,365198,351546,345078,338948,331928,337452,362745,378863,378224,376208,376154,372685,379735
46,Female,314591,321217,331475,342212,347631,354587,368586,381198,390445,397539,401209,399157,396792,392645,393603,384481,394552,380360,365300,351643,345138,338995,331957,337482,362747,378846,378211,376204,376155,372697
47,Female,316470,313389,320716,330434,341543,346833,354111,368102,380784,389554,397082,400976,399209,396892,393065,393800,384541,394585,380399,365341,351661,345149,338991,331972,337496,362732,378814,378183,376185,376142
48,Female,312785,315278,312591,319687,329854,340620,346302,353730,367385,380165,388739,396830,400859,399344,397316,393156,393790,384539,394555,380372,365300,351627,345105,338965,331966,337491,362697,378760,378133,376145
49,Female,310288,311819,314545,311297,319097,329004,339911,345946,353070,366416,379531,388407,396691,401075,399660,397356,393112,393739,384496,394477,380279,365221,351554,345056,338936,331958,337483,362657,378700,378077
50,Female,311654,309319,310428,312941,310016,318080,327730,339103,345073,352078,366327,379028,388016,396708,401127,399495,397190,392953,393572,384330,394261,380076,365033,351406,344933,338833,331878,337403,362544,378564
51,Female,321673,310817,307496,308986,311715,308828,316797,327081,338086,344142,351937,365691,378573,387863,396881,401019,399173,396878,392643,393247,383997,393901,379728,364731,351146,344699,338622,331690,337216,362321
52,Female,331503,320744,309105,305616,307969,310515,307297,316233,326126,336781,344086,351269,365035,378286,387546,396381,400516,398684,396393,392156,392736,383499,393375,379243,364295,350755,344335,338283,331377,336902
53,Female,356518,330373,318990,307323,304060,306929,308993,306310,315366,325004,336435,343355,350453,364670,377934,387188,395710,399847,398021,395730,391482,392059,382837,392706,378620,363722,350231,343840,337815,330935
54,Female,375317,354829,328384,317093,305817,302560,305585,308088,305134,314222,324806,335745,342607,349919,364134,377429,386454,394967,399093,397268,394965,390725,391295,382113,391974,377936,363092,349651,343290,337291
55,Female,306521,374778,351781,326375,315304,304599,301354,303763,307396,304273,313516,324018,335003,341969,349338,363481,376628,385641,394130,398236,396402,394106,389873,390459,381319,391172,377184,362400,349011,342684
56,Female,299427,304597,372844,349010,324287,313959,303561,299020,303183,306457,303305,312603,323117,334422,341409,348791,362650,375770,384753,393206,397287,395462,393170,388968,389570,380476,390318,376385,361664,348333
57,Female,292016,297589,301600,371279,346333,322767,312712,301376,297884,302355,305403,302330,311639,322495,333803,340724,347923,361753,374825,383771,392180,396249,394429,392165,387996,388614,379567,389395,375522,360867
58,Female,279209,290940,294864,299007,369940,344223,321356,310572,300309,296518,301455,304449,301386,310909,321841,333131,339806,347000,360776,373793,382694,391072,395123,393332,391099,386962,387598,378601,388415,374604
59,Female,252307,277556,288747,292239,296324,368827,342186,318848,309305,299048,295038,300414,303496,300641,310270,321114,332177,338849,346012,359726,372684,381550,389891,393948,392187,389986,385885,386538,377596,387394
60,Female,237163,250828,275800,287100,289389,293498,367027,339989,317116,307560,297457,293748,299317,302566,299840,309389,320062,331099,337741,344870,358518,371421,380249,388575,392636,390908,388741,384679,385350,376466
61,Female,247710,235186,249379,273689,284874,286575,290511,365799,337662,315238,305710,296230,292505,298300,301716,298888,308267,318916,329898,336506,343598,357186,370028,378838,387148,391214,389521,387388,383368,384058
62,Female,248572,245684,233144,247441,271115,282899,283686,288234,364507,335077,313305,304410,294972,291561,297305,300709,297774,307133,317723,328644,335213,342272,355790,368592,377382,385674,389746,388088,385992,382016
63,Female,245573,246546,243626,230738,244912,268633,280710,281392,285741,362960,332459,311786,302809,293852,290531,296178,299498,296615,305920,316443,327296,333832,340853,354323,367081,375850,384124,388202,386581,384523
64,Female,240132,243353,244477,241130,227732,242593,265915,279034,278980,283118,361362,330540,310164,301564,292647,289204,294838,298174,295314,304557,315011,325803,332302,339308,352729,365439,374188,382444,386526,384946
65,Female,234173,237617,241052,241833,238540,223923,239978,263977,277303,276347,280482,358949,328499,308405,299998,290909,287635,293277,296597,293760,302941,313335,324063,330550,337542,350907,363568,372295,380530,384618
66,Female,227430,231560,235011,238408,239220,235092,221056,238021,261638,275324,273585,278388,356306,326313,306150,297841,288991,285803,291417,294722,291914,301043,311374,322058,328531,335505,348813,361422,370124,378337
67,Female,219477,224840,228872,232063,235649,235387,231801,218704,235853,259079,273394,271365,276213,353767,323972,303965,295635,286932,283791,289373,292666,289897,298969,309251,319886,326344,333301,346545,359098,367772
68,Female,219492,216599,222127,225656,228919,231773,232286,229230,215981,233545,256467,270906,268893,273947,350805,321316,301464,293298,284702,281609,287157,290441,287713,296742,306971,317543,323975,330911,344088,356578
69,Female,221164,216174,213520,218889,222342,224970,228365,229526,226381,213094,231079,253841,268208,266439,271426,347446,318266,298726,290680,282199,279157,284677,287954,285287,294267,304420,314914,321328,328242,341343
70,Female,223539,217596,212621,210090,215624,218417,221444,225278,226501,223100,210047,228438,250949,265287,263503,268496,343659,314942,295671,287754,279396,276420,281912,285192,282590,291498,301568,311999,318393,325283
71,Female,219617,219375,213805,208775,206576,211677,214685,218023,221932,223265,219818,207374,225686,248071,262068,260330,265277,339619,311323,292338,284558,276339,273432,278903,282187,279644,288485,298488,308852,315222
72,Female,212568,215105,214972,209529,204603,202511,207888,211182,214415,218412,219848,216685,204484,222594,244725,258633,256849,261853,335241,307395,288715,281088,273017,270195,275643,278930,276463,285241,295171,305461
73,Female,204674,207559,210314,210155,205146,199758,198331,204162,207248,210564,214700,216277,213191,201374,219236,240970,254742,253124,258112,330468,303102,284759,277294,269393,266662,272084,275373,272986,281696,291547
74,Female,202988,199323,202349,205191,205116,200149,195013,194272,200019,203143,206560,211109,212541,209505,197850,215415,236910,250586,249059,254029,325266,298425,280441,273161,265442,262807,268199,271491,269189,277824
75,Female,199841,196960,193672,196468,199735,199549,195144,190292,189793,195730,198752,202392,206900,208461,205465,194006,211368,232591,246074,244643,249592,319622,293347,275757,268674,261150,258618,263977,267271,265061
76,Female,194091,193097,190447,187738,190387,193815,193739,190072,185208,185170,191159,194433,197895,202596,203832,201052,189953,207084,227922,241194,239866,244792,313516,287855,270689,263814,256501,254078,259401,262695
77,Female,189789,187076,186014,183585,181453,183882,187779,187969,184630,179908,180146,186486,189512,193210,197446,198870,196271,185604,202393,222812,235857,234639,239538,306851,281849,265139,258490,251402,249097,254378
78,Female,185579,182195,179548,178518,176547,174537,177369,181459,181782,178955,174360,174992,181068,184600,187780,192134,193509,191167,180861,197277,217243,230039,228939,233811,299589,275301,259083,252675,245828,243648
79,Female,187286,177527,174034,171555,170641,169050,167607,170694,174774,175432,172787,168761,169170,175728,178815,182152,186274,187816,185632,175710,191722,211196,223719,222748,227586,291696,268172,252484,246336,239748
80,Female,189313,177907,168621,165557,163336,162866,161330,160404,163397,167813,168522,166411,162529,163433,169178,172691,175829,180038,181629,179611,170101,185674,204612,216840,216006,220802,283091,260397,245280,239408
81,Female,177753,178817,168156,159443,156676,154990,154701,153254,152654,155936,160681,161376,159404,156189,156542,162538,165849,169112,173273,174911,173068,164001,179096,197455,209358,208665,213410,273719,251916,237413
82,Female,126503,166210,167659,157818,150160,147706,146246,146020,144937,145056,148184,152912,153448,152268,148746,149427,155164,158597,161842,165941,167624,165965,157373,171952,189679,201225,200679,205359,263512,242668
83,Female,103627,118392,154219,155988,147373,140877,138704,137198,137232,136381,136864,140127,144542,145592,143927,141087,141693,147420,150816,154031,158057,159782,158316,150232,164248,181288,192444,192048,196652,252465
84,Female,107144,95447,110124,141824,144441,136542,131025,129060,127902,128281,127404,128337,131209,136299,136326,135397,132740,133611,139149,142494,145669,149610,151372,150106,142559,155964,172261,182989,182746,187260
