sex,age,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1,0,379800,355400,335100,308700,296300,282800,270400,274900,299000,308800,306156,299875,300980,300536,313487,316582,320129,330453,327228,329967,335984,335937,323949,324263,314397,309286,314688,306169,303792,294437,284722,286075,295825,306347,310555,318392,329378,341881,339107,344191,347892,356779
1,1,368100,376800,354800,332700,307000,294600,281200,269700,273700,297500,306989,303938,299033,300930,300110,313801,315614,318678,329694,326083,329049,335131,334392,322534,323649,313657,309218,313798,306256,302078,293150,285175,286585,295746,305780,309966,319838,329373,341322,338389,342610,350367
1,2,384200,367200,375600,352800,331000,305600,293200,280700,269600,273700,297890,306439,303477,299283,300974,300305,313993,315574,318782,329498,326574,329041,335021,333896,322701,323062,313132,309640,313824,305445,300640,293863,286639,287235,295778,305224,310609,320950,329655,341907,338329,344897
1,3,387000,383000,366200,374100,350900,329700,304000,292900,280700,269200,273990,297171,306078,303802,300305,302362,301594,315090,316818,319872,330789,326780,329159,335292,333860,322997,322585,313064,310277,313386,305216,301628,295392,288199,287733,295558,305698,310628,322036,330745,342755,340353
1,4,398000,385700,381800,365200,373400,349700,328300,303900,292900,280300,268491,273392,296841,306409,304802,302193,302843,301817,315463,317185,320568,330388,326326,329436,335800,333969,322838,321804,313111,310799,312993,306459,303544,297210,289531,287926,296241,305482,310582,323834,332132,344520
1,5,391800,397500,384000,379600,363900,372900,348600,327600,303700,292300,280005,267884,273085,297281,307578,306247,302775,303026,302015,315600,317387,320425,330503,326601,329830,336603,333990,323210,321930,313013,310931,314933,308229,305261,297887,290333,288497,296291,305727,310825,325132,333807
1,6,401200,391000,396500,382300,378700,363900,372000,347900,327200,302700,291805,279513,267674,273402,298140,308672,306680,302945,303652,302565,316099,317173,320302,330575,327139,330755,336813,333920,323608,320993,312502,312923,316669,309687,306035,298749,291648,289021,296733,305802,311074,326489
1,7,400600,401500,390700,395200,381000,378000,363700,371600,347600,326500,302505,291253,279336,267861,274158,298901,309134,306756,302972,303653,303005,316255,316850,320517,330872,327500,330893,337014,333897,323421,319535,313932,315009,318337,310492,307111,300217,293035,289847,297024,305756,312453
1,8,388700,401200,402400,390400,393800,380100,377400,363600,371500,346900,326205,302019,291116,279802,268815,275032,299289,309195,307284,303330,304386,303315,316628,316929,321022,331351,327596,331427,337953,333452,323081,321287,315330,317016,319007,311590,308752,301750,294709,290570,297295,307118
1,9,381100,389000,402100,402000,390600,392900,379200,376900,363900,371300,346206,325582,301846,291491,280507,269702,275407,299388,309068,307236,303760,303980,303547,317102,316954,321570,331403,327822,332044,338227,332946,324027,322946,316589,318371,320164,313089,310348,303427,296206,291242,298623
1,10,374700,381500,389700,402400,402300,390400,391800,378600,376700,364600,369304,345556,325424,302084,292341,281170,269842,275395,299598,309773,307516,303274,303376,304318,318107,317391,321858,331692,328318,332563,338658,333873,325555,324468,318291,319863,321888,314304,312405,305315,297817,292729
1,11,361800,374900,382500,390200,402700,402300,391100,391600,378900,376600,364803,367744,345305,325570,303099,293486,281823,270097,275931,300120,310630,307725,303340,303572,305168,319242,317761,322545,332541,328580,333212,339604,334850,326433,326525,319226,321787,323180,316330,314413,307040,299305
1,12,352800,362200,375600,382900,390800,402700,403100,392300,391700,378700,376304,363689,366380,345312,326100,303625,293652,281995,270231,276161,299995,310354,307580,303286,303620,306054,319724,318010,323164,332681,329004,333346,340570,334730,327508,327581,320573,323335,325243,318261,316217,308336
1,13,344700,352900,362900,375800,382800,391200,403400,404300,393700,391700,379504,375262,362671,365375,346056,326723,304032,293843,282191,270668,276705,300069,310284,307753,303496,303774,306765,320814,318546,323756,333173,328336,333779,340569,335237,327922,329302,321619,325698,327191,320122,317699
1,14,337000,345400,353100,363100,375900,383300,392100,404300,405700,395100,393203,378445,374413,362000,364848,346794,326983,304113,293781,282918,271938,276646,300054,310483,308099,303960,303759,307341,321576,318876,324283,331317,327953,333104,341086,334832,328650,330581,323349,327951,329070,321768
1,15,330700,338400,346700,354200,364400,377500,385200,394200,406800,407500,396893,392287,377865,375018,362368,365159,347696,327429,304872,295134,284000,272101,276831,300188,310764,308534,304724,304375,308109,321132,320819,322879,331363,328150,334330,343897,336860,331009,334047,326635,331613,330568
1,16,319100,329400,337600,346300,353200,363700,376900,385500,394500,406700,408092,397897,393781,379035,376355,363271,365409,348946,329108,307443,297963,283791,271896,276605,300135,310859,309054,305123,305110,308645,324331,321360,322227,331413,329206,336838,346710,339009,334158,338208,330224,333138
1,17,325900,318200,328000,336400,345200,352100,362500,375600,385800,394900,407692,413434,402139,392273,379196,375412,362992,364342,349420,330263,308329,296035,283437,271761,276415,300471,311554,309735,306428,304876,312556,325174,322549,321392,331497,331798,339758,349162,341797,337912,342707,332078
1,18,322600,326900,317500,327400,337500,346500,352700,362700,376800,386700,395293,408516,411446,395786,391736,377923,374448,361793,362900,349945,330295,305462,293088,279964,268547,272449,295373,305685,304318,299152,303707,315350,328196,324766,321666,335383,335408,342573,353217,346451,343292,344358
1,19,319800,324800,327500,318000,329500,339400,347400,353300,364100,378800,387693,397401,409596,407309,395867,391436,378214,374558,361425,363445,351210,326856,301782,288521,275792,262871,266046,287759,297715,297640,297053,309126,320074,332318,328250,327502,340127,338741,347482,360001,353225,345478
1,20,328900,321800,325900,328100,319600,331300,341100,348300,354600,366600,380307,386598,395839,406998,406124,394932,391440,378671,374354,362602,362341,350272,328982,305424,294613,283505,273080,278320,296770,307932,307746,299286,310034,323510,335937,331193,331182,341738,339675,354802,367865,356578
1,21,336600,329500,322800,326400,328800,321600,332800,341900,349500,355800,367706,377456,385893,397058,407386,405634,395207,391545,379496,375356,362053,362000,349871,328121,306022,295220,284810,274930,279193,296412,309123,311701,302999,316945,329832,341560,339328,333982,343355,349188,365145,372103
1,22,350000,337300,329800,323200,326400,330100,323200,332300,343300,350800,358006,362599,376206,386671,397187,405948,404542,394158,391224,379533,374031,361637,361936,349528,329520,307343,296584,286951,277900,281635,299860,314784,316035,313009,326119,336828,351330,344869,335227,354251,361147,370333
1,23,375100,350300,338100,329600,323600,327600,329900,321800,332100,341500,349906,351897,360286,378831,386765,396067,405035,403087,392457,390937,378325,373241,360862,361113,350778,330697,308742,298094,290965,282058,288025,306285,320520,326798,324357,334943,347295,357417,347930,345646,365775,365620
1,24,412100,375500,349400,338100,328700,323200,327000,328900,321400,331100,338306,343714,349082,362713,379444,385841,394999,403324,400638,393707,390242,377188,371823,359471,361646,351313,331314,309480,302336,295359,289574,294076,312224,332181,338291,334308,346605,353127,360361,359647,355616,368761
1,25,327800,412800,375000,349000,337700,328000,321700,325500,328000,320000,329493,332245,340992,351582,363133,379124,384957,393664,402141,403291,392528,390046,376772,371394,361374,363551,352319,332975,314718,309317,302343,296651,299489,318162,341522,345458,343333,353573,353100,363398,366281,358900
1,26,323000,326800,411000,374100,348600,337300,326900,320200,324900,325800,318193,324437,330373,342937,351639,362430,378907,383673,392655,402493,401026,391658,389058,376375,373345,362775,364090,353348,337482,320752,315943,308389,301962,304262,327005,349065,353960,351228,354408,355794,369475,368232
1,27,325000,323000,325400,409900,373900,348100,336200,325600,319500,324500,323293,314705,323660,331846,343391,351000,361815,378150,383056,392435,400635,398952,390628,388503,377939,374133,363235,365027,357511,343157,326991,321135,313046,306318,311665,334216,357639,361431,353316,357813,361162,371250
1,28,309300,324000,322100,324000,409600,373100,346600,335300,325300,318100,322393,320142,314393,325079,332196,342922,350409,360750,377727,383042,391779,397679,396883,390047,390201,379487,374297,363804,368488,362472,348392,332097,325423,317038,313707,318053,342703,365701,363461,358025,364040,362041
1,29,282400,308500,323800,320400,323200,408900,371700,345300,334600,324500,316195,319276,319568,315572,325038,331687,342377,349148,360520,378072,381650,389837,395729,396115,391348,391009,379988,375115,366957,373211,366666,352783,336120,328727,323445,319479,324943,350270,368358,367752,364966,365166
1,30,265000,282000,308300,322700,319700,322600,407800,370700,345300,333100,322409,313166,318254,320390,315710,324528,331051,341368,348863,359258,377747,379543,387821,394194,396598,392404,391416,380079,377645,370903,376695,366897,353423,336884,331501,325520,320975,329818,355252,369527,369450,364969
1,31,282600,264500,281600,307100,321500,318500,321300,406500,370300,344300,330709,319811,312217,318388,320438,315087,324004,330161,341277,347507,359109,375258,377785,386652,394125,396715,392615,391679,382385,381168,374455,377103,367451,354321,339194,332912,326665,324964,333319,356341,371850,369513
1,32,284900,281600,263400,280400,305800,320400,317500,320100,406100,369400,343309,328532,319009,312391,318366,319885,314677,323169,330228,340830,347144,357562,372922,376490,386627,394246,396480,392528,393230,384965,383636,374912,377927,368052,356659,340688,333768,330239,328554,333732,358647,371333
1,33,284200,283300,281000,262000,279300,304400,319300,316200,319900,405200,366910,341244,328250,319050,312569,318012,319570,314073,323545,329897,339988,346844,356332,371472,376512,386736,393718,396139,393699,395799,387350,383594,374888,378466,369910,357955,341506,336863,333227,328812,335139,357675
1,34,280300,283200,282800,279900,260400,277900,303500,318400,315600,319200,403711,364549,340175,327927,319354,312083,317731,318911,314083,323033,329108,340136,346106,355334,370817,376455,386000,392651,396440,395778,397597,387009,383513,374778,380491,371045,358765,344399,339405,333327,330196,334526
1,35,274600,279400,282000,281300,278200,258700,276600,302400,317800,314600,316303,400873,363777,340392,327728,318717,311328,316541,318156,312709,321886,328928,339863,345722,354736,369541,375286,385042,392496,396668,396393,397843,388295,383447,377961,382195,373989,359581,344169,339819,334046,329469
1,36,271700,274000,278100,280800,279800,276600,257300,275800,302100,316900,312903,314945,400180,364082,340144,327058,318022,310362,315919,317195,312308,321157,328575,339617,345613,354228,368201,374212,384990,392419,396873,396699,398720,387622,385994,378699,384743,374635,359399,344707,340309,333413
1,37,262000,271000,273000,276400,279400,277800,275400,256200,275800,302000,315003,310899,313419,400234,363811,339432,326559,317296,309432,315605,316672,311688,320297,328360,339704,345569,353495,367222,374345,385171,392474,397070,397475,398022,389622,386602,380564,385738,374521,359839,345224,339748
1,38,265000,261300,269600,271400,275100,277600,276500,274100,256100,275300,300003,313173,309826,313267,400022,363267,339100,326006,316736,309400,314708,315684,310968,319605,328559,339902,345160,352903,367124,374363,385233,392680,397852,396723,399488,389531,387903,380669,385792,374930,360518,344597
1,39,274200,263900,260900,268000,270600,273500,276400,274900,274100,255600,273103,298090,311871,310289,313068,399650,363121,338654,325233,317159,308833,314348,315170,310797,319655,328864,339980,345229,353549,367067,374571,385959,393812,397095,397927,399138,390192,387844,379878,386317,375560,359986
1,40,277200,273600,263200,259600,266800,269500,272900,275400,274900,272700,253191,272482,298223,312840,310236,312823,399725,362670,337944,325804,316923,308356,313146,314529,310869,319388,328922,339912,345367,352876,365504,376921,385459,391955,397950,396224,398080,389414,388421,378002,385058,374600
1,41,277200,277000,272500,262000,259000,265900,269100,272100,274900,274000,271190,252730,272077,297742,312553,309497,312090,398909,362416,338226,325217,316205,307986,312775,314353,310903,319009,328786,340551,345767,352669,367213,376722,383683,392638,396140,395160,397003,389342,386497,376049,384103
1,42,275100,277000,276500,271100,260700,258000,265200,268300,271200,274500,272190,270327,251773,271347,297103,311806,308673,311099,398517,361347,337241,324122,315075,307625,312463,314300,310744,318580,329303,340975,345643,354245,366963,375644,384331,391402,395102,393904,396578,387008,384557,375340
1,43,274700,274100,276200,275200,270300,259700,257600,264500,267600,270500,272790,271227,269167,250894,270785,296246,311019,307602,310444,397089,360624,336283,323303,314164,307576,311970,313802,310518,318709,330069,341180,346943,353894,365450,376536,383185,390585,393908,393408,394150,384595,383606
1,44,281700,273600,273700,274700,274100,268900,259000,257100,263400,266500,268892,271551,270166,268267,250180,270049,295133,309830,306503,309461,396278,359908,335412,322623,313728,307572,311598,313198,310647,318684,329966,342232,346579,352637,366007,375896,382733,389800,393361,391021,391659,383719
1,45,286400,279300,272300,271400,273100,272500,267400,257800,256000,262700,264601,267482,270351,269482,267229,249249,269097,294047,309316,305502,308651,393448,358978,334361,321754,312627,307004,310732,312795,310131,318181,327481,341619,346402,352148,365843,373791,382005,389513,393076,389810,390867
1,46,286400,285300,278000,270500,270800,271700,271300,266400,256900,254600,260501,263238,266191,269193,268467,265898,248036,267928,292886,307875,304339,308498,390847,358319,333546,320765,311439,306464,310174,312022,309787,315865,327002,341071,345837,352058,363583,373499,381746,389530,392097,389120
1,47,289600,284900,284000,276000,269500,269500,270300,270300,265400,255500,252201,259140,262002,264972,268165,267354,264473,246733,266915,291379,306569,303690,307901,388787,357535,332450,319669,310290,306109,309258,311484,307121,315466,326420,340076,345608,349995,362949,373773,381859,388933,391128
1,48,290000,287700,283400,282300,274900,267900,268000,269000,269200,263800,253401,250844,257806,260556,263864,266882,266056,263027,245569,265712,290191,304898,302934,307322,386692,356703,331269,318471,309359,305562,308347,309067,306371,315047,325486,339465,343332,349448,362747,374181,381317,388046
1,49,308000,288900,286400,281800,280700,273300,265900,266300,267700,267700,262499,252026,249713,256605,259309,262522,265451,264767,261478,244577,264734,289126,303317,302260,306657,384489,355592,330177,317620,308188,304935,306370,308363,305421,314257,324737,337079,342653,349286,362705,373943,380237
1,50,320500,306000,287700,284100,279100,278300,271100,263800,264500,265700,265899,261255,250867,248501,255351,258000,260996,263940,263525,260305,243517,263006,287769,301393,301549,306057,381690,354379,328737,316548,306164,303735,305541,306448,304769,313151,323567,336747,342161,348136,361409,373065
1,51,335200,317800,304000,285400,281600,276800,276100,269000,262300,262900,264299,264315,259744,249241,247299,253906,256411,259385,262475,262313,258934,242888,261460,286457,299931,300790,305174,379072,353379,327658,314843,305069,302317,303958,305893,303222,312148,323465,335844,340787,346924,360399
1,52,227300,332400,315000,301400,283000,279000,274400,273900,267100,260800,261599,262497,262664,257969,247789,245910,252353,254829,257896,261101,260863,257493,241867,259868,285253,298300,299727,304222,376691,352471,325911,313462,303752,300033,303545,304372,301827,312205,322556,333964,339352,345742
1,53,218200,225100,329000,311800,298500,280000,276200,271900,271400,265100,259499,259184,260326,260617,256307,246037,244049,250605,253099,256383,259383,259344,255886,240845,258329,283878,296422,298487,303281,374177,350606,324260,311784,301728,299077,302272,303051,301483,311594,320870,332154,338329
1,54,243700,215200,222700,325600,309100,295000,277300,273600,269300,268900,263198,257021,256800,258254,258667,254300,243907,242375,248819,251527,254735,258046,257831,254444,239991,256541,282255,294202,297546,302590,370634,348274,322401,309238,300946,297103,301194,302634,300373,310052,319149,330898
1,55,259800,240800,213100,219900,321900,305700,291400,273900,270200,266400,265600,260369,254572,254478,255818,256407,251694,241712,240436,246807,249239,253084,256409,256192,252682,238710,254632,280446,292202,296195,301249,368921,344951,320047,307717,299192,294749,299318,301262,298912,308806,318027
1,56,276500,256400,237700,210000,217200,318200,301500,287700,270500,266700,263200,262610,257536,251848,251811,253147,253703,249188,239388,238303,244603,247189,251089,254509,254398,250949,237106,252646,278685,289940,294418,298386,366622,341898,318071,305391,296767,292206,297971,299576,297135,307435
1,57,277900,272400,253100,234000,206900,214000,313700,297200,283800,266700,263500,259629,259618,254401,249009,248803,250025,250870,246503,236903,235930,242323,245005,249051,252442,252356,248954,235383,250678,276508,287562,291478,295088,364715,339203,315704,302879,294401,290345,296601,297836,295702
1,58,274500,274000,268000,249000,230000,203300,210600,308400,292700,279700,263200,259511,256058,256387,251028,245826,245145,246839,248021,243649,234258,233497,239944,242717,246989,250520,250232,246771,233913,248269,274268,285281,288295,292235,363244,336263,312834,300281,292627,288248,295033,295775
1,59,266600,269300,269700,263100,244600,225800,199800,206700,303600,288000,275201,258997,255524,252351,253061,247446,241905,241638,243666,245044,240719,231960,230890,237343,240390,244869,248376,247866,244579,232294,245807,271444,282876,285308,289701,361389,332685,309909,298088,290692,285974,292916
1,60,260900,261400,264400,264400,258300,240000,221700,195800,203200,298400,283503,270240,254733,251482,248192,249071,243074,238134,237976,240157,241786,237321,229013,228118,234487,237659,242292,245666,245351,242081,229929,243234,268474,280249,281946,286086,357094,329582,307498,296159,288397,283724
1,61,260400,255200,255900,258800,258600,252800,235400,216800,192000,199400,293803,277932,265502,250349,247015,243704,244440,238942,234260,234113,236406,238078,233790,226445,225280,231662,234844,239725,243386,242715,239295,226952,240396,265250,277581,278277,281085,355055,326472,305183,293435,285879
1,62,255700,254000,249300,249900,252800,252600,247200,229900,212000,187700,193202,287525,272286,260281,245560,242025,238654,240030,234726,230283,229950,232357,234015,230099,223124,222009,228420,231681,236804,240427,239499,236188,223570,237223,262037,274706,273488,277888,352980,323356,302337,290774
1,63,247500,248900,247600,242700,243800,246200,246300,241000,224400,207000,181802,188796,280771,265946,254753,240237,236356,233619,235611,230183,225818,225820,228015,229911,226319,219731,218645,225029,228596,233720,237184,236205,232657,219891,234045,258442,270581,270322,274907,350973,319545,299566
1,64,236300,240400,241800,240400,235900,236700,239600,239300,234600,218800,201202,177366,184207,273646,259128,248678,233874,230828,228646,230769,225537,221109,221338,223763,225627,222166,216096,215084,221579,225183,230402,233671,232514,228813,216133,230594,253817,267984,266942,271922,348284,316237
1,65,224900,227900,232300,233700,232500,228400,229200,232500,232600,228100,213194,195602,172521,179308,265769,251931,241207,227823,225101,223048,225362,220399,216121,216613,219170,220983,217709,212482,211611,217905,222049,226125,229079,227871,224824,211600,226897,250781,265339,264112,268158,344370
1,66,215000,216700,220000,224100,225100,224500,220800,221800,225000,225300,220994,206745,189899,167549,174073,257606,246407,234387,221782,218953,217164,219262,214913,210924,211631,214316,216145,213290,208474,207466,214243,217647,221276,224452,223765,220453,207576,223944,247456,262959,260309,264934
1,67,202800,206200,208400,211600,215700,216500,216300,212900,213900,217300,217294,213483,200185,183953,162342,168619,251782,238654,227272,215361,212584,210838,212739,209069,205478,206301,209146,211073,208433,204292,203552,209773,212915,216479,220215,219338,216402,203960,220658,244286,259773,256853
1,68,191900,194100,197400,199400,202800,206700,207800,207900,204600,205800,209194,209009,205660,193124,177669,156669,162005,243031,230774,219961,208566,205997,204403,206321,203153,199836,200898,203901,205932,203411,199932,198855,205009,207978,211848,215648,215074,212655,200037,217563,240572,255971
1,69,177700,182700,185100,188200,190100,193700,197700,198800,199000,196500,197495,200560,200613,197636,185725,170912,149403,155899,234073,222383,212258,201315,199034,197811,199666,196991,193912,195312,198322,200448,198584,194842,193606,199743,203189,206859,210986,211067,208612,196266,213801,236480
1,70,163300,167800,173100,175400,178600,180700,184100,188300,190000,190400,187505,188601,191652,192224,189268,178071,162568,143387,149630,224630,213636,204372,193842,191776,191010,192561,190502,187746,189435,192434,194958,193179,189362,188389,194876,198278,202198,206615,206725,204610,191917,209834
1,71,149100,153900,158500,163500,165900,169000,171300,174400,178800,180800,181305,178288,179681,182795,183264,180387,169166,155565,137337,143047,215125,204874,196159,186314,184472,183781,185504,184089,181300,183331,186621,188833,187386,183669,183129,189754,193355,197537,202034,202420,199921,187689
1,72,126800,139500,144600,148800,153600,156200,159300,161500,164800,169100,170804,171262,168854,170588,173453,173834,171098,161106,148695,131109,136435,205171,195904,187496,178550,176683,176436,178236,177186,174622,177200,180295,182296,181279,178056,177583,184669,188410,192460,197390,197591,195186
1,73,114800,117900,130100,134300,139200,143900,146400,149100,151700,154900,159504,160285,161005,159213,161080,163699,164520,161773,153113,141317,124673,130518,195202,186812,178895,170336,168853,168953,170699,169893,167934,170460,173494,175707,175232,172139,172336,179546,183094,187365,192255,192681
1,74,105000,106200,109300,120400,124500,129100,133700,136300,138700,141700,144404,148922,149949,150824,149350,151272,154126,155104,152558,144662,133715,118053,124290,184457,177395,169893,162073,160968,161112,162821,162805,160873,163385,166591,169278,168944,166327,166958,174089,177620,181894,187160
1,75,95100,96700,97800,100500,110600,114700,119200,123500,126100,128800,130390,134113,138365,139754,140717,139288,141293,144518,145837,143210,136095,125867,111297,117664,173945,167802,160723,153590,152610,152917,155105,155205,153582,156256,160031,162578,162815,160330,161349,168613,171911,176513
1,76,87000,86800,88200,89400,91600,101400,105000,109500,113400,116600,119291,120251,123920,128064,129374,130041,129332,131533,134847,136005,134059,127423,118008,104123,111217,163087,158003,151784,144985,144221,145175,147096,147338,146164,149004,153056,155884,156386,154034,155507,162735,166147
1,77,77400,79300,78500,80200,81400,83300,92200,95600,99600,103800,106392,109225,110198,113783,117562,118616,120121,119473,121979,124950,126359,124484,118053,109747,97134,104622,152147,148422,142458,136193,136227,136824,138887,139375,138752,141895,146015,148994,149667,147593,149477,156599
1,78,70300,69700,71300,70600,72200,73100,75300,83100,86400,90500,94193,96503,99146,100382,103807,107134,108938,110124,109712,112271,115090,116427,114879,109418,101727,90022,98123,141550,138564,132843,127757,127754,128429,130683,131382,131213,134555,138858,141964,143097,140940,143245
1,79,61500,62700,62100,63800,63000,64500,65700,67500,74300,77500,81792,84772,87004,89559,90697,93666,97824,99262,100486,100077,102587,105555,106920,105546,100586,93571,83092,91926,130553,128707,123877,119101,119122,120086,122315,123626,123770,127148,131385,134743,136064,134522
1,80,55100,54600,55500,55200,56800,55500,57400,58200,59900,66200,69688,72848,76039,78450,80643,81617,85117,88094,89724,90749,90560,93128,96189,96979,96365,91561,85630,76393,85594,119588,119309,114347,110295,110419,111833,114257,115676,116061,119528,124054,127395,128944
1,81,47600,48500,47700,48600,48400,49700,49000,50200,51200,52700,59190,61646,64376,67497,69611,71640,72629,75846,78837,80063,81469,81537,84110,86280,87749,87045,82770,77828,69735,79379,109314,109168,104995,101391,101933,103584,106199,107716,108085,111833,116429,119868
1,82,41600,41400,42100,41300,42100,41800,43400,42800,43800,44700,46192,51659,53952,56533,59441,61189,63343,64241,67374,69777,71276,72655,72815,75049,77263,78517,78245,74705,70151,63049,73607,98820,99063,95743,92885,93583,95382,97959,99490,100321,104119,108657
1,83,34900,35700,35200,36200,35100,35900,35900,37400,36700,37600,37993,39905,44522,46912,48994,51603,53367,55433,56333,58702,61344,62870,64365,64391,66454,68426,69697,69805,66429,62542,56700,66791,88554,89142,86752,84452,85365,87254,89972,91606,92560,96281
1,84,28600,29600,30300,29600,30400,29300,30400,30400,31900,31100,31794,32538,34089,38147,40147,41968,44608,46124,48017,48513,50886,53437,54959,56042,56349,58146,60159,61453,61492,58440,55686,50549,60170,78418,79522,78225,76362,77391,78992,82072,83689,84509
1,85,24300,23900,24700,25300,24800,25500,24300,25400,25500,26900,26299,26967,27650,28854,32215,33980,35799,38078,39611,40939,41466,43632,46200,46992,48457,48612,50526,52426,53320,53608,50963,48841,44318,53798,68828,70396,69928,68248,69330,71178,74160,75946
1,86,19800,19900,19400,20200,20900,20300,21100,20000,21100,20900,21599,22073,22635,23258,23972,26796,28552,29963,32100,33168,34573,35290,37354,38988,40203,41291,41513,43457,45085,45758,46506,43992,42504,38308,47639,59925,61541,61786,60365,61786,63615,66308
1,87,15500,16000,16000,15800,16300,16900,16600,17300,16000,17200,16999,17711,18187,18712,19181,19726,22161,23499,24960,26431,27245,29029,29748,31065,32987,33705,34769,35222,36877,38207,39124,39748,37412,36283,32832,41963,51389,53358,53855,53094,54463,56299
1,88,12400,12300,12700,12700,12500,13000,13500,13300,14000,12700,13799,13823,14320,14928,15325,15659,16163,18082,19145,20293,21556,22419,24049,24273,25759,27140,27942,29018,29264,30800,32081,32969,33611,31295,30597,27885,36742,43171,45268,46695,46119,47481
1,89,9700,9800,9500,9900,9800,9700,10200,10700,10500,11400,10500,10954,10992,11546,12063,12285,12588,12994,14428,15094,16339,17426,18431,19423,19961,20904,22134,23005,23689,24042,25543,26419,27297,27942,25825,25575,23318,31900,35692,37994,39749,39413
1,90+,24800,25700,26000,26300,26700,27000,27300,28100,29300,30200,29898,29573,29973,30485,31559,32670,34324,35405,36701,37668,39452,42601,46659,49009,52571,55232,58214,62490,65821,68952,72816,76615,80152,83979,87535,88916,90148,88472,94979,103509,111803,121248
